####### Bispectrum of Patchy Simulation 1260 #############
# Patch: ngc
# z-type: z1
# Weights: fkp
# Fiducial Omega_m: 0.310
# Fiducial h: 0.676
# Boxsize: [1350.0, 2450.0, 1400.0]
# Grid: [126, 230, 130]
# k-binning: [0.000, 0.160, 0.010]
# Monte Carlo Simulations: 100
#
# Format: k1 | k2 | k3 | B(k1,k2,k3)
############################################
0.0150	0.0150	0.0150	-2.26817364e+10
0.0150	0.0150	0.0250	1.70371528e+10
0.0150	0.0150	0.0350	5.04084509e+09
0.0150	0.0250	0.0250	-6.14779081e+09
0.0150	0.0250	0.0350	1.84098557e+10
0.0150	0.0250	0.0450	1.81548799e+10
0.0150	0.0350	0.0350	6.83797820e+09
0.0150	0.0350	0.0450	2.44260399e+09
0.0150	0.0350	0.0550	5.65313060e+09
0.0150	0.0450	0.0450	4.14212789e+09
0.0150	0.0450	0.0550	1.68311633e+09
0.0150	0.0450	0.0650	3.70143030e+09
0.0150	0.0550	0.0550	1.92616401e+09
0.0150	0.0550	0.0650	4.64466342e+09
0.0150	0.0550	0.0750	9.01831168e+09
0.0150	0.0650	0.0650	6.55455045e+08
0.0150	0.0650	0.0750	5.86085111e+09
0.0150	0.0650	0.0850	7.97705585e+09
0.0150	0.0750	0.0750	3.21710807e+09
0.0150	0.0750	0.0850	4.85014551e+09
0.0150	0.0750	0.0950	5.67606117e+09
0.0150	0.0850	0.0850	4.99605058e+08
0.0150	0.0850	0.0950	3.77981514e+09
0.0150	0.0850	0.1050	6.24802752e+09
0.0150	0.0950	0.0950	1.33031191e+09
0.0150	0.0950	0.1050	3.57417307e+09
0.0150	0.0950	0.1150	5.11385816e+09
0.0150	0.1050	0.1050	1.85869446e+09
0.0150	0.1050	0.1150	1.85332832e+09
0.0150	0.1050	0.1250	4.79305726e+09
0.0150	0.1150	0.1150	2.07499018e+09
0.0150	0.1150	0.1250	1.38774075e+09
0.0150	0.1150	0.1350	4.55598509e+09
0.0150	0.1250	0.1250	1.98018793e+09
0.0150	0.1250	0.1350	1.47244523e+09
0.0150	0.1250	0.1450	3.39829291e+09
0.0150	0.1350	0.1350	2.46077719e+09
0.0150	0.1350	0.1450	1.38054213e+09
0.0150	0.1450	0.1450	1.43744272e+09
0.0250	0.0250	0.0250	-3.92816950e+09
